"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, WAESISI","-19.52","-19.52","169.42","169.42","SAE","","","s_WAEW [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOL","","","","","WR [19944] ","54.36","0.81","","16.4","","","","9.45","7.75","3.54","0.19","","2.13","3.69","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.49","5148.33","310.67","10.97","","","24.27","7.26","","80.91","16.59","","","","","26.55","632.32","19.3","72.21","1.01","","","","","","","","","","","","0.82","437.25","10.07","22.41","3.06","15.32","3.7","1.15","3.54","0.54","3.48","0.74","2.15","0.34","2.19","0.32","2","0.06","","","","","","","","","8.5","","1.47","0.8","","","","","","","","","","","","","","","","","","","","","","","","","1011892",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, PORT RESOLUTION","-19.52","-19.52","169.42","169.42","SAE","","","s_TB1 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOL","","","","","WR [19944] ","56.25","0.79","","17.31","","","","7.97","7.01","2.77","0.17","","2.78","3.87","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.37","5870","235.24","21.85","","","20","16","","98.91","17.33","","","","","35.55","642.59","23.12","98.48","1.41","","","","","","","","","","","","1.13","568.47","13.81","30.33","4.28","19.6","4.75","1.38","4.68","0.67","4.39","0.92","2.75","0.41","2.68","0.4","2.98","0.08","","","","","","","","","14.81","","2.29","1.19","0.513017","","","0.703586","","","","","","","","","","","","","","0.283161","","","","","","","1011893",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, WHITE SANDS","-19.52","-19.52","169.42","169.42","SAE","","","s_WSG-14 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOL","","","","","WR [19944] ","52.94","0.812","","16.46","","","","9.47","8.36","4.069","0.185","","1.87","3.67","0.293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011894",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, WHITE SANDS","-19.52","-19.52","169.42","169.42","SAE","","","s_WSP-14 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOL","","","","","WR [19944] ","53.09","0.808","","16.59","","","","9.4","8.26","3.991","0.186","","1.86","3.64","0.303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011895",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, SULPHUR BAY","-19.52","-19.52","169.42","169.42","SAE","","","s_SB-14 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOL","","","","","WR [19944] ","53.36","0.821","","16.6","","","","9.45","8.14","3.983","0.187","","1.91","3.61","0.312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011896",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, WHITE SANDS","-19.52","-19.52","169.42","169.42","SAE","","","s_BR1 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOL","","","","","WR [19944] ","54.03","0.87","","16.55","","","","9.65","8.1","3.58","0.2","","1.89","3.61","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.06","6052","326.24","6.26","","","26","12","","106.12","16.96","","","","","21.35","599.36","20.02","63.81","0.95","","","","","","","","","","","","0.63","425.45","9.38","21.69","3.11","14.54","3.72","1.22","3.9","0.55","3.77","0.77","2.29","0.34","2.21","0.33","1.9","0.06","","","","","","","","","12.17","","1.37","0.75","","","","","","","","","","","","","","","","","","","","","","","","","1011897",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, FRIENDLY BUNGALOWS","-19.52","-19.52","169.42","169.42","SAE","","","s_BR4 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOL","","","","","WR [19944] ","56.66","0.89","","16.05","","","","8.58","6.46","3.12","0.17","","2.94","3.83","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.47","6302","320.18","10.91","","","22","13","","93.08","16.87","","","","","38.28","548.09","22.81","97.51","1.44","","","","","","","","","","","","0.95","573.69","13.8","30.74","4.21","19.62","4.67","1.38","4.5","0.66","4.25","0.85","2.72","0.39","2.49","0.38","2.89","0.1","","","","","","","","","14.59","","2.23","1.23","","","","","","","","","","","","","","","","","","","","","","","","","1011898",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, FRIENDLY BUNGALOWS","-19.52","-19.52","169.42","169.42","SAE","","","s_BR5 [19944]","ANDESITE [19944]","","","","","","","","","VOL","","","","","WR [19944] ","57.64","0.89","","16.15","","","","8.05","5.7","2.37","0.18","","3.43","3.94","0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.77","6349","227.99","9.25","","","18","10","","98.62","17.39","","","","","44.14","505.3","27.17","119.03","1.8","","","","","","","","","","","","1.39","653.64","16.6","37.42","5.15","23.24","5.4","1.48","5.4","0.79","5.02","1.06","3.17","0.46","3.07","0.47","3.53","0.11","","","","","","","","","16.05","","2.74","1.5","","","","","","","","","","","","","","","","","","","","","","","","","1011899",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, FRIENDLY BUNGALOWS","-19.52","-19.52","169.42","169.42","SAE","","","s_BR6 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOL","","","","","WR [19944] ","53.02","0.75","","14.35","","","","9.08","8.63","7.77","0.18","","2.02","2.99","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.61","5255","291.02","360.34","","","36","109","","80.53","15.26","","","","","24.03","507.47","17.95","67.76","0.95","","","","","","","","","","","","0.73","405.22","9.49","21.47","3.02","13.92","3.55","1.08","3.64","0.51","3.4","0.71","2.05","0.31","2.01","0.3","2.01","0.06","","","","","","","","","9.64","","1.44","0.8","","","","","","","","","","","","","","","","","","","","","","","","","1011900",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, FRIENDLY BUNGALOWS","-19.52","-19.52","169.42","169.42","SAE","","","s_BR8 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOL","","","","","WR [19944] ","56.56","0.92","","15.86","","","","8.76","6.25","2.91","0.19","","3.15","3.79","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.85","6381","263.73","17.89","","","21","17","","101.82","17.24","","","","","39.44","521.32","24.98","107.77","1.6","","","","","","","","","","","","1.18","593.49","15.3","34.07","4.75","21.68","5.15","1.39","4.95","0.76","4.71","0.98","2.91","0.45","2.87","0.43","3.17","0.09","","","","","","","","","14.49","","2.44","1.38","","","","","","","","","","","","","","","","","","","","","","","","","1011901",
