"CITATIONS,""TECTONIC SETTING"",""LOCATION"",""LOCATION COMMENT"",""LATITUDE MIN"",""LATITUDE MAX"",""LONGITUDE MIN"",""LONGITUDE MAX"",""LAND OR SEA"",""ELEVATION MIN"",""ELEVATION MAX"",""SAMPLE NAME"",""ROCK NAME"",""MIN. AGE (YRS.)"",""MAX. AGE (YRS.)"",""GEOL."",""AGE"",""ERUPTION DAY"",""ERUPTION MONTH"",""ERUPTION YEAR"",""ROCK TEXTURE"",""ROCK TYPE"",""DRILL DEPTH MIN"",""DRILL DEPTHAX"",""ALTERATION"",""MINERAL"",""MATERIAL"",""SIO2(WT%)"",""TIO2(WT%)"",""B2O3(WT%)"",""AL2O3(WT%)"",""CR2O3(WT%)"",""FE2O3(WT%)"",""FEO(WT%)"",""FEOT(WT%)"",""CAO(WT%)"",""MGO(WT%)"",""MNO(WT%)"",""NIO(WT%)"",""K2O(WT%)"",""NA2O(WT%)"",""P2O5(WT%)"",""H2O(WT%)"",""H2OP(WT%)"",""H2OM(WT%)"",""H2OT(WT%)"",""CO2(WT%)"",""CO1(WT%)"",""F(WT%)"",""CL(WT%)"",""CL2(WT%)"",""OH(WT%)"",""CH4(WT%)"",""SO2(WT%)"",""SO3(WT%)"",""SO4(WT%)"",""S(WT%)"",""LOI(WT%)"",""VOLATILES(WT%)"",""O(WT%)"",""OTHERS(WT%)"",""HE(CCM/G)"",""HE(CCMSTP/G)"",""HE3(CCMSTP/G)"",""HE3(AT/G)"",""HE4(CCM/G)"",""HE4(CCMSTP/G)"",""HE4(AT/G)"",""HE4(MOLE/G)"",""HE4(NCC/G)"",""HE(NCC/G)"",""LI(PPM)"",""BE(PPM)"",""B(PPM)"",""C(PPM)"",""CO2(PPM)"",""F(PPM)"",""NA(PPM)"",""MG(PPM)"",""AL(PPM)"",""P(PPM)"",""S(PPM)"",""CL(PPM)"",""K(PPM)"",""CA(PPM)"",""SC(PPM)"",""TI(PPM)"",""V(PPM)"",""CR(PPM)"",""MN(PPM)"",""FE(PPM)"",""CO(PPM)"",""NI(PPM)"",""CU(PPM)"",""ZN(PPM)"",""GA(PPM)"",""GE(PPM)"",""AS(PPM)"",""SE(PPM)"",""BR(PPM)"",""RB(PPM)"",""SR(PPM)"",""Y(PPM)"",""ZR(PPM)"",""NB(PPM)"",""MO(PPM)"",""RU(PPM)"",""RH(PPM)"",""PD(PPM)"",""AG(PPM)"",""CD(PPM)"",""IN(PPM)"",""SN(PPM)"",""SB(PPM)"",""TE(PPM)"",""I(PPM)"",""CS(PPM)"",""BA(PPM)"",""LA(PPM)"",""CE(PPM)"",""PR(PPM)"",""ND(PPM)"",""SM(PPM)"",""EU(PPM)"",""GD(PPM)"",""TB(PPM)"",""DY(PPM)"",""HO(PPM)"",""ER(PPM)"",""TM(PPM)"",""YB(PPM)"",""LU(PPM)"",""HF(PPM)"",""TA(PPM)"",""W(PPM)"",""RE(PPM)"",""OS(PPM)"",""IR(PPM)"",""PT(PPM)"",""AU(PPM)"",""HG(PPM)"",""TL(PPM)"",""PB(PPM)"",""BI(PPM)"",""TH(PPM)"",""U(PPM)"",""ND143_ND144"",""ND143_ND144_INI"",""EPSILON_ND"",""SR87_SR86"",""SR87_SR86_INI"",""PB206_PB204"",""PB206_PB204_INI"",""PB207_PB204"",""PB207_PB204_INI"",""PB208_PB204"",""PB208_PB204_INI"",""OS184_OS188"",""OS186_OS188"",""OS187_OS186"",""OS187_OS188"",""RE187_OS186"",""RE187_OS188"",""HF176_HF177"",""HE3_HE4"",""HE3_HE4(R/R(A))"",""HE4_HE3"",""HE4_HE3(R/R(A))"",""K40_AR40"",""AR40_K40"",""UNIQUE_ID"","
"[23353],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / RIO DAS VELHAS GREENSTONE BELT / QUEBRA OSSO GROUP"",""MICON"",""-20.0646"",""-20.0646"",""-43.4377"",""-43.4377"",""SAE"","""","""",""s_QO-99A/B [23353]"",""METAKOMATIITE [23353]"","""","""","""",""ARCHEAN [23353]"","""","""","""","""",""MET"","""","""","""","""",""WR [23353] "","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.00421"","""",""0.00154"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.000053"",""0.00186"",""0.00132"",""0.00853"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.1198"","""",""0.136"","""","""","""","""","""","""","""",""1645959"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG01/213.2 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""46.517333"",""0.657843"","""",""8.674613"",""0.370176"",""12.342926"","""",""11.106315"",""9.600054"",""21.508134"",""0.178398"","""",""0.005575"",""0.0446"",""0.100349"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""9.8"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""29.594759"","""",""194.83216"","""","""","""",""104.321523"",""1265.175924"","""","""",""10.851412"","""","""","""","""",""0.863181"",""46.365122"",""16.647052"",""57.463156"",""2.46623"","""","""","""","""","""","""","""","""","""","""","""","""",""4.932459"",""2.096295"",""5.918951"",""0.900174"",""4.932459"",""1.677036"",""0.332941"",""1.972984"",""0.443922"",""3.156774"",""0.641219"",""1.997647"",""0.283616"",""1.82501"",""0.258955"",""1.479738"",""0.123311"","""","""","""","""","""","""","""","""","""","""",""0.493247"",""0.123311"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700748"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FAP31/257.80 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""48.835752"",""0.448992"","""",""7.726846"",""0.365459"",""11.569385"","""",""10.410274"",""7.810379"",""22.867286"",""0.177509"","""",""0.010442"",""0.135742"",""0.052208"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""25.183302"","""",""117.522077"","""","""","""",""93.388079"",""1030.416785"","""","""",""10.388112"","""","""","""","""",""0.524652"",""22.24525"",""10.807834"",""30.429824"",""0.839443"","""","""","""","""","""","""","""","""","""","""","""","""",""1.364096"",""1.259165"",""3.357774"",""0.514159"",""2.51833"",""0.839443"",""0.335777"",""1.668394"",""0.230847"",""1.79431"",""0.37775"",""1.343109"",""0.157396"",""1.049304"",""0.146903"",""0.839443"",""0.10493"","""","""","""","""","""","""","""","""","""","""",""0.167889"",""0.052465"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700749"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG01/293.98 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""47.790763"",""0.706"","""",""9.67763"",""0.269366"",""13.696398"","""",""12.324186"",""7.744276"",""19.300951"",""0.173785"","""",""0.434461"",""0.119477"",""0.086892"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""7.5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""24.730538"","""",""162.361356"","""","""","""",""85.804213"",""702.132223"","""","""",""10.214787"","""","""","""","""",""32.687319"",""37.095807"",""12.902889"",""50.858888"",""2.795626"","""","""","""","""","""","""","""","""","""","""","""","""",""15.053371"",""3.978391"",""8.924498"",""1.268784"",""5.483728"",""1.69888"",""0.494611"",""1.7849"",""0.376334"",""2.204244"",""0.505363"",""1.602109"",""0.215048"",""1.537594"",""0.215048"",""1.505337"",""0.107524"","""","""","""","""","""","""","""","""","""","""",""0.645144"",""0.215048"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700750"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG21/176.13 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""52.252252"",""0.687961"","""",""11.225771"",""0.14742"",""11.411411"","""",""10.268127"",""10.15561"",""12.503413"",""0.17472"","""",""0.08736"",""1.255801"",""0.09828"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8.2"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""33.548115"","""",""179.644747"","""","""","""",""57.356455"",""142.85004"","""","""",""9.631556"","""","""","""","""",""1.298637"",""57.140016"",""16.774058"",""61.468805"",""3.78769"","""","""","""","""","""","""","""","""","""","""","""","""",""8.657578"",""6.060305"",""13.635686"",""1.75316"",""7.90004"",""2.121107"",""0.616852"",""2.564808"",""0.465345"",""3.030152"",""0.573565"",""1.709872"",""0.270549"",""1.623296"",""0.238083"",""1.298637"",""0.324659"","""","""","""","""","""","""","""","""","""","""",""0.973978"",""0.216439"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700751"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG01/153.70 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""49.273346"",""1.010903"","""",""13.750448"",""0.094568"",""11.869952"","""",""10.680728"",""8.206789"",""12.380839"",""0.163049"","""",""0.304358"",""2.815309"",""0.130439"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""7.7"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""30.161404"","""",""196.049123"","""","""","""",""51.597544"",""267.14386"","""","""",""13.895789"","""","""","""","""",""15.942456"",""108.581053"",""25.314035"",""107.072982"",""6.14"","""","""","""","""","""","""","""","""","""","""","""","""",""24.775439"",""6.786316"",""17.342807"",""2.617579"",""10.987368"",""3.296211"",""0.807895"",""3.640912"",""0.700175"",""4.825825"",""0.861754"",""2.585263"",""0.430877"",""2.606807"",""0.409333"",""2.692982"",""0.430877"","""","""","""","""","""","""","""","""","""","""",""1.723509"",""0.323158"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700752"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG22/264.00 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""48.77693"",""0.948035"","""",""13.845481"",""0.060424"",""12.782848"","""",""11.502163"",""8.084344"",""12.20986"",""0.177105"","""",""0.135434"",""2.854523"",""0.125016"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.7"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""26.964701"","""",""212.606298"","""","""","""",""67.515463"",""362.986362"","""","""",""13.689771"","""","""","""","""",""3.837284"",""124.971019"",""19.082712"",""65.130124"",""4.874388"","""","""","""","""","""","""","""","""","""","""","""","""",""35.261532"",""6.326334"",""15.245427"",""2.053466"",""8.919093"",""2.437194"",""0.881538"",""3.173538"",""0.560036"",""3.204651"",""0.767457"",""2.167547"",""0.321502"",""1.980868"",""0.331873"",""2.074208"",""0.311131"","""","""","""","""","""","""","""","""","""","""",""1.140814"",""0.311131"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700753"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG09/108.6 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""48.424508"",""0.630435"","""",""8.623868"",""0.319975"",""12.013941"","""",""10.810291"",""9.515993"",""19.30557"",""0.178425"","""",""0.892124"",""0.035685"",""0.059475"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""15.5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""32.584481"","""",""174.256139"","""","""","""",""101.436907"",""1164.541023"","""","""",""9.633673"","""","""","""","""",""52.560184"",""146.771837"",""19.267345"",""57.802036"",""1.841731"","""","""","""","""","""","""","""","""","""","""","""","""",""35.417915"",""3.825135"",""10.200359"",""1.487553"",""8.216957"",""2.365917"",""0.736693"",""2.635093"",""0.580853"",""3.711798"",""0.736693"",""2.564257"",""0.325845"",""1.997571"",""0.311678"",""1.70006"",""0.141671"","""","""","""","""","""","""","""","""","""","""",""0.708359"",""0.070836"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700754"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG22/113.52 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""47.850695"",""0.666542"","""",""9.249731"",""0.287665"",""11.798962"","""",""10.61685"",""9.600543"",""18.873661"",""0.198793"","""",""1.344778"",""0.023387"",""0.105243"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""14"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""32.730115"","""",""218.200771"","""","""","""",""97.917597"",""1014.633589"","""","""",""12.410169"","""","""","""","""",""64.096477"",""136.920985"",""19.228943"",""56.868576"",""4.091264"","""","""","""","""","""","""","""","""","""","""","""","""",""125.465443"",""3.954889"",""10.228161"",""1.431942"",""7.091525"",""2.045633"",""0.77734"",""2.795697"",""0.518227"",""3.273011"",""0.722791"",""2.263833"",""0.327301"",""1.895619"",""0.340939"",""1.50013"",""0.272751"","""","""","""","""","""","""","""","""","""","""",""0.681878"",""0.272751"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700755"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG22/77.00 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""49.463504"",""0.541308"","""",""10.176587"",""0.188856"",""13.039503"","""",""11.733104"",""9.514988"",""16.768513"",""0.228552"","""",""0.006015"",""0.012029"",""0.060145"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""16.6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""34.979597"","""",""182.185401"","""","""","""",""99.983348"",""390.605499"","""","""",""9.182144"","""","""","""","""",""0.291497"",""68.50171"",""15.157825"",""47.659701"",""2.331973"","""","""","""","""","""","""","""","""","""","""","""","""",""8.744899"",""5.975682"",""12.680104"",""1.705256"",""8.016158"",""1.851004"",""0.641293"",""2.331973"",""0.42267"",""2.346549"",""0.582994"",""1.66153"",""0.233197"",""1.967603"",""0.233197"",""1.020239"",""0.072874"","""","""","""","""","""","""","""","""","""","""",""0.728742"",""0.291497"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700756"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG110/322.58 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""49.37825"",""0.87045"","""",""11.847163"",""0.146959"",""12.774135"","""",""11.494323"",""8.489713"",""13.508931"",""0.180873"","""",""1.955686"",""0.723491"",""0.12435"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""12.26"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""30.183202"","""",""207.799738"","""","""","""",""68.492651"",""363.359318"","""","""",""13.001995"","""","""","""","""",""85.093412"",""88.924357"",""15.439869"",""67.331759"",""4.52748"","""","""","""","""","""","""","""","""","""","""","""","""",""110.400866"",""6.384908"",""14.975512"",""2.008344"",""8.822782"",""2.36822"",""0.766189"",""2.91384"",""0.417921"",""2.681661"",""0.592055"",""1.636858"",""0.255396"",""1.474333"",""0.232178"",""1.741339"",""0.348268"","""","""","""","""","""","""","""","""","""","""",""0.951932"",""0.208961"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700757"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG07/118.40 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""47.49782"",""0.697472"","""",""14.449288"",""0.075559"",""12.414996"","""",""11.171165"",""10.206335"",""12.252252"",""0.162743"","""",""0.313862"",""1.801802"",""0.12787"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""13.7"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""29.761205"","""",""200.211745"","""","""","""",""76.432187"",""343.606643"","""","""",""14.610046"","""","""","""","""",""8.387249"",""140.689334"",""20.697565"",""77.920246"",""4.328903"","""","""","""","""","""","""","""","""","""","""","""","""",""40.583462"",""8.25197"",""18.668392"",""2.448535"",""11.092813"",""2.949065"",""1.109282"",""3.463122"",""0.62228"",""3.449595"",""0.757558"",""2.42148"",""0.365252"",""2.29973"",""0.365252"",""1.893895"",""0.405835"","""","""","""","""","""","""","""","""","""","""",""1.488061"",""0.676391"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700758"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FAP31/208.00 [23570]"",""NOT GIVEN [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""48.170668"",""0.628997"","""",""8.271307"",""0.324982"",""12.202537"","""",""10.979992"",""8.030192"",""21.805221"",""0.157249"","""",""0.073383"",""0.241115"",""0.09435"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""5.07"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""24"","""",""114"","""","""","""",""91"",""944"","""","""",""11.1"","""","""","""","""",""3.4"",""36.3"",""16"",""53"",""1.9"","""","""","""","""","""","""","""","""","""","""","""","""",""15.5"",""2.9"",""7.7"",""1.12"",""5.4"",""1.6"",""0.57"",""2.44"",""0.43"",""2.75"",""0.59"",""1.81"",""0.25"",""1.53"",""0.25"",""1.5"",""0.2"","""","""","""","""","""","""","""","""","""","""",""0.44"",""0.1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700759"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG01/111.57 [23570]"",""BASALT, THOLEIITIC [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""52.91086"",""1.115272"","""",""14.005471"",""0.036393"",""12.080159"","""",""10.869874"",""8.886958"",""7.137742"",""0.152616"","""",""0.281753"",""3.228419"",""0.164356"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""7"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""31.201258"","""",""230.243765"","""","""","""",""40.991997"",""59.174799"","""","""",""12.695684"","""","""","""","""",""8.069291"",""147.291455"",""25.391368"",""86.610388"",""5.271937"","""","""","""","""","""","""","""","""","""","""","""","""",""35.50488"",""7.638929"",""17.429668"",""2.399269"",""8.930015"",""3.141644"",""0.957556"",""3.647319"",""0.67782"",""3.63656"",""0.871483"",""2.366992"",""0.408844"",""2.399269"",""0.376567"",""1.93663"",""0.322772"","""","""","""","""","""","""","""","""","""","""",""1.506268"",""0.430362"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700760"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG23/375.07 [23570]"",""BASALT, THOLEIITIC [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""52.439599"",""1.10658"","""",""13.514621"",""0.059427"",""12.910101"","""",""11.616666"",""8.791164"",""8.053444"",""0.163938"","""",""0.450829"",""2.366852"",""0.143446"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.2"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""32"","""",""239"","""","""","""",""44.5"",""120"","""","""",""13.9"","""","""","""","""",""13.8"",""170.3"",""22.8"",""85.8"",""5.7"","""","""","""","""","""","""","""","""","""","""","""","""",""72"",""9.2"",""22.1"",""2.6"",""11.4"",""3.26"",""1"",""3.86"",""0.69"",""4.21"",""0.91"",""2.66"",""0.41"",""2.72"",""0.37"",""2.5"",""0.4"","""","""","""","""","""","""","""","""","""","""",""1.8"",""0.5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700761"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG21/130.03 [23570]"",""BASALT, THOLEIITIC [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""52.941908"",""1.098423"","""",""13.740648"",""0.022797"",""12.611138"","""",""11.347656"",""8.642308"",""7.212286"",""0.155437"","""",""0.953348"",""2.46627"",""0.155437"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.3"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""33.058328"","""",""238.639808"","""","""","""",""40.909681"",""56.819002"","""","""",""14.256404"","""","""","""","""",""25.930126"",""239.569573"",""24.793746"",""96.179074"",""5.888515"","""","""","""","""","""","""","""","""","""","""","""","""",""215.912207"",""9.917498"",""21.901143"",""2.933927"",""12.810102"",""3.150872"",""1.095057"",""3.708731"",""0.702489"",""4.25626"",""0.99175"",""2.944257"",""0.42356"",""2.747974"",""0.392568"",""2.892604"",""0.206615"","""","""","""","""","""","""","""","""","""","""",""1.756224"",""0.516536"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700762"","
"[23570],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / PITANGUI GREENSTONE BELT"","""",""-23"",""-23"",""-47"",""-47"",""SAE"","""","""",""s_FJG21/286.04 [23570]"",""BASALT, THOLEIITIC [23570]"","""","""","""",""ARCHEAN [23570]"","""","""","""","""",""VOL"","""","""",""E"","""",""WR [23570] "",""51.972281"",""1.035345"","""",""13.644005"",""0.053305"",""12.126866"","""",""10.911902"",""9.830654"",""8.170002"",""0.205019"","""",""0.830326"",""1.988683"",""0.143513"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""33.662983"","""",""222.379709"","""","""","""",""42.435761"",""72.426419"","""","""",""14.383275"","""","""","""","""",""21.727926"",""172.497288"",""24.992215"",""94.562381"",""6.018533"","""","""","""","""","""","""","""","""","""","""","""","""",""254.002511"",""9.690859"",""21.31989"",""2.968463"",""12.445103"",""3.49891"",""1.1323"",""4.325183"",""0.724264"",""4.886233"",""0.958885"",""2.71344"",""0.397835"",""2.642034"",""0.438639"",""2.448217"",""0.306027"","""","""","""","""","""","""","""","""","""","""",""1.530136"",""0.612054"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1700763"","
