LA(PPM);CE(PPM);PR(PPM);ND(PPM);SM(PPM);EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM)
0,235;0,62;0,094;0,46;0,15;0,057;0,2;0,037;0,25;0,056;0,16;0,025;0,16;0,025
0,32;0,94;0,137;0,626;0,204;0,078;0,29;0,051;0,332;0,077;0,221;0,035;0,215;0,033
